subject,questionnaire,word,sound,vowel_type,short_long,trial,F1,F2,duration
MF,q1,čīd,i:,i,long,1,344.9663716736998,2558.9555372484265,0.16312969824163304
SM,q3,ka:l,a:,a,long,1,783.1365368049462,1588.6340996826732,0.16072422281987286
LT,q1,wax̌t,a,a,short,1,811.0028608642385,1526.9067500849117,0.15835096544611105
MF,q3,kal,a,a,short,1,670.808033356359,1520.2375968185902,0.1556129017859167
MF,q3,cīx̌,i:,i,long,1,332.9046447260354,2436.8150235680714,0.1549205425123219
SM,q1,wūrj,u:,u,long,1,395.2431866264917,805.9673209968207,0.151670893626898
SM,q1,xūrn,u:,u,long,1,363.7433340720626,668.7276317855552,0.14981452367161197
SM,q1,x̌ūʒ,u:,u,long,1,406.47480662054323,863.1495541241413,0.14959800667630319
LT,q1,kal,a,a,short,1,784.0604131142966,1577.7692797779362,0.1482682383874021
MF,q1,pāst,a:,a,long,1,624.9025639124158,1386.8739142148638,0.14654136579085275
MF,q3,ča:lak,a:,a,long,1,697.573937212142,1356.6980890573761,0.14643308965065316
MF,q3,x̌ar,a,a,short,1,700.5398624826137,1659.661610718631,0.14531173547970866
LT,q1,vūɣd,u:,u,long,1,326.49542744613854,846.7084426920205,0.2500703432437774
SM,q1,nīst,i:,i,long,1,405.69711012782255,1792.7471896218744,0.14497022763566747
SM,q1,čax̌,a,a,short,1,711.9936978228142,1756.2820014610245,0.14449955963590355
MF,q1,tāt,a:,a,long,1,677.1569248280437,1470.2217380887773,0.13997719693577437
MF,q1,žarn,a,a,short,1,612.923430871365,1592.4113416926766,0.13948285760744739
SM,q1,siʒ,i,i,short,1,489.88690598499505,2380.99892464871,0.1385099893365691
LT,q1,x̌irn,i,i,short,1,344.85406424693156,2702.9848324757104,0.1382567939024284
MF,q1,ðud,u,u,short,1,474.3071405042019,794.8553865296457,0.13796548911622608
MF,q1,lavʒ,a,a,short,1,595.9584302080915,1602.0461901803662,0.13787852402646195
MF,q1,nay,a,a,short,1,580.0712876209736,1554.624175725302,0.13590613239227878
SM,q1,tux̌p,u,u,short,1,472.7149949960834,907.9777753795478,0.13586485246310076
MF,q3,ka:l,a:,a,long,1,658.1327701115755,1386.8397375941347,0.13467254220506675
MF,q1,mūn,u:,u,long,1,293.1860376423666,850.9244564816321,0.13294257300020718
LT,q1,nīst,i:,i,long,1,319.6520705341251,2714.4972827626743,0.13281163683643626
MF,q1,čax̌,a,a,short,1,651.5229848335024,1626.7560227157585,0.13227755232682625
LT,q1,siʒ,i,i,short,1,434.83550024735615,2148.431358080839,0.13179969869686659
SM,q1,ðust,u,u,short,1,368.60742786939585,610.2693426568096,0.13148008973411152
LT,q1,kāl,a:,a,long,1,752.9415889323141,1603.2369363649332,0.13117599810772163
SM,q1,wax̌t,a,a,short,1,739.874366412302,1425.1088866702332,0.13017007470767794
MF,q1,x̌ūʒ,u:,u,long,1,345.90191799717485,1076.4738123167906,0.1296682260596862
SM,q1,xist,i,i,short,1,441.9230184276962,2565.7325520176787,0.1294266205893564
LT,q1,ziv,i,i,short,1,500.8974245571963,1955.6910078209305,0.1283630636019666
MF,q1,ziv,i,i,short,1,456.13923342001806,2008.3493370070605,0.12802590935558555
SM,q1,čux̌,u,u,short,1,490.1371320855773,862.0003761429073,0.12574389212207393
MF,q1,kal,a,a,short,1,684.6354170788239,1529.0087401602523,0.125629065146029
MF,q3,kūdak,u:,u,long,1,321.83434617926173,1033.606059218113,0.12467645427168605
SM,q3,čalak,a,a,short,1,711.8542568109061,1833.2791275864229,0.12324297327639044
MF,q1,siʒ,i,i,short,1,461.9279786695824,2148.6070795751234,0.11960317502972373
MF,q3,bun,u,u,short,1,419.8833129563958,836.1065032753748,0.11410924190815308
SM,q1,хаx̌,a,a,short,1,839.7385875049054,1722.3597556792042,0.11327380092134831
MF,q1,x̌irn,i,i,short,1,531.4649538584172,2086.712521116077,0.11008133947629517
SM,q1,piš,i,i,short,1,493.4405952075938,2546.683364378726,0.10911941230602906
MF,q1,vīrt,i:,i,long,1,374.6764166861211,2511.8694733504335,0.1058085479106694
LT,q1,čax̌,a,a,short,1,845.8481894214608,1551.385178262308,0.10188462072306947
MF,q1,хаx̌,a,a,short,1,655.6154287966291,1475.980548839801,0.10070508875753603
MF,q1,nīst,i:,i,long,1,467.11290104641995,2635.42640045033,0.10050066117810275
LT,q1,mūn,u:,u,long,1,267.6223813890125,847.5832263668198,0.22812970813714628
SM,q3,cix̌,i,i,short,1,424.3020367587534,2460.330087658682,0.09597535632387633
MF,q1,wax̌t,a,a,short,1,635.7946535228085,1320.7217999212044,0.09504623078745311
MF,q1,piš,i,i,short,1,458.14195755738893,2196.639842232516,0.09239061155321338
MF,q3,cix̌,i,i,short,1,398.41033180377445,2245.6378852118096,0.08953826709344526
SM,q3,kūdak,u:,u,long,1,380.78287244133594,608.9164567568979,0.08853113704878979
MF,q3,čalak,a,a,short,1,707.9940402992434,1736.9577921104346,0.08840796895778169
LT,q1,čūrd,u:,u,long,1,329.3636406247709,943.5699988489584,0.22183385640025222
LT,q1,wūrj,u:,u,long,1,318.4499513721309,873.5523154366067,0.2201926475505438
SM,q3,kal,a,a,short,1,737.0940066700757,1789.7564348485305,0.08606039413040412
SM,q1,puc,u,u,short,1,327.9113456738888,612.6162792851621,0.08318344485064699
SM,q3,bun,u,u,short,1,406.9379905366714,1039.9593332802308,0.08291646514513218
MF,q1,čux̌,u,u,short,1,467.7528820604439,1323.5475971723233,0.0824998213292929
MF,q1,puc,u,u,short,1,522.7642109783413,1295.9577676200354,0.0808878112938487
LT,q1,xūrn,u:,u,long,1,360.46209931888296,847.084090130571,0.2157770272942443
MF,q1,ðust,u,u,short,1,539.8744519747157,1577.6759389141835,0.07626605916948392
MF,q1,tux̌p,u,u,short,1,463.6577732224717,1105.7025557404406,0.0754986799701669
LT,q1,piš,i,i,short,1,447.5258739557515,2073.964751959428,0.07465473674395184
LT,q1,xist,i,i,short,1,476.05577529243277,2324.330442269497,0.0728132065763134
MF,q1,xist,i,i,short,1,501.58890620029496,2152.056620660564,0.07202956956788853
SM,q3,bu:n,u:,u,long,1,477.0513071369831,840.4067802451395,0.0669824969135
LT,q1,x̌ūʒ,u:,u,long,1,289.6670722173189,842.9442409328041,0.14501736856122172
MF,q3,kudak,u,u,short,1,402.6280117308614,634.5376786348178,0.05803451258049108
SM,q3,kudbuc,u,u,short,1,447.7142248142629,608.3331413231907,0.03595492869902728
